Property Name|Default|Meaning|Since Version
spark.excludeOnFailure.application.enabled|false|"If set to ""true"", enables excluding executors for the entire application due to too many task failures and prevent Spark from scheduling tasks on them. This config overrides ""spark.excludeOnFailure.enabled""."|4.0.0
spark.excludeOnFailure.taskAndStage.enabled|false|"If set to ""true"", enables excluding executors on a task set level due to too many task failures and prevent Spark from scheduling tasks on them. This config overrides ""spark.excludeOnFailure.enabled""."|4.0.0
spark.excludeOnFailure.timeout|1h|(Experimental) How long a node or executor is excluded for the entire application, before it is unconditionally removed from the excludelist to attempt running new tasks.|2.1.0
spark.excludeOnFailure.task.maxTaskAttemptsPerExecutor|1|(Experimental) For a given task, how many times it can be retried on one executor before the executor is excluded for that task.|2.1.0
spark.excludeOnFailure.task.maxTaskAttemptsPerNode|2|(Experimental) For a given task, how many times it can be retried on one node, before the entire node is excluded for that task.|2.1.0
spark.excludeOnFailure.stage.maxFailedTasksPerExecutor|2|(Experimental) How many different tasks must fail on one executor, within one stage, before the executor is excluded for that stage.|2.1.0
spark.excludeOnFailure.stage.maxFailedExecutorsPerNode|2|(Experimental) How many different executors are marked as excluded for a given stage, before the entire node is marked as failed for the stage.|2.1.0
spark.excludeOnFailure.application.maxFailedTasksPerExecutor|2|(Experimental) How many different tasks must fail on one executor, in successful task sets, before the executor is excluded for the entire application. Excluded executors will be automatically added back to the pool of available resources after the timeout specified byspark.excludeOnFailure.timeout. Note that with dynamic allocation, though, the executors may get marked as idle and be reclaimed by the cluster manager.|2.2.0
spark.excludeOnFailure.application.maxFailedExecutorsPerNode|2|(Experimental) How many different executors must be excluded for the entire application, before the node is excluded for the entire application. Excluded nodes will be automatically added back to the pool of available resources after the timeout specified byspark.excludeOnFailure.timeout. Note that with dynamic allocation, though, the executors on the node may get marked as idle and be reclaimed by the cluster manager.|2.2.0
spark.excludeOnFailure.killExcludedExecutors|false|"(Experimental) If set to ""true"", allow Spark to automatically kill the executors when they are excluded on fetch failure or excluded for the entire application, as controlled by spark.killExcludedExecutors.application.*. Note that, when an entire node is added excluded, all of the executors on that node will be killed."|2.2.0
spark.excludeOnFailure.application.fetchFailure.enabled|false|"(Experimental) If set to ""true"", Spark will exclude the executor immediately when a fetch failure happens. If external shuffle service is enabled, then the whole node will be excluded."|2.3.0
spark.speculation|false|"If set to ""true"", performs speculative execution of tasks. This means if one or more tasks are running slowly in a stage, they will be re-launched."|0.6.0
spark.speculation.interval|100ms|How often Spark will check for tasks to speculate.|0.6.0
spark.speculation.multiplier|3|How many times slower a task is than the median to be considered for speculation.|0.6.0
spark.speculation.quantile|0.9|Fraction of tasks which must be complete before speculation is enabled for a particular stage.|0.6.0
spark.speculation.minTaskRuntime|100ms|Minimum amount of time a task runs before being considered for speculation. This can be used to avoid launching speculative copies of tasks that are very short.|3.2.0
spark.speculation.task.duration.threshold|None|Task duration after which scheduler would try to speculative run the task. If provided, tasks would be speculatively run if current stage contains less tasks than or equal to the number of slots on a single executor and the task is taking longer time than the threshold. This config helps speculate stage with very few tasks. Regular speculation configs may also apply if the executor slots are large enough. E.g. tasks might be re-launched if there are enough successful runs even though the threshold hasn't been reached. The number of slots is computed based on the conf values of spark.executor.cores and spark.task.cpus minimum 1. Default unit is bytes, unless otherwise specified.|3.0.0
spark.speculation.efficiency.processRateMultiplier|0.75|A multiplier that used when evaluating inefficient tasks. The higher the multiplier is, the more tasks will be possibly considered as inefficient.|3.4.0
spark.speculation.efficiency.longRunTaskFactor|2|A task will be speculated anyway as long as its duration has exceeded the value of multiplying the factor and the time threshold (either bespark.speculation.multiplier* successfulTaskDurations.median orspark.speculation.minTaskRuntime) regardless of it's data process rate is good or not. This avoids missing the inefficient tasks when task slow isn't related to data process rate.|3.4.0
spark.speculation.efficiency.enabled|true|When set to true, spark will evaluate the efficiency of task processing through the stage task metrics or its duration, and only need to speculate the inefficient tasks. A task is inefficient when 1)its data process rate is less than the average data process rate of all successful tasks in the stage multiplied by a multiplier or 2)its duration has exceeded the value of multiplyingspark.speculation.efficiency.longRunTaskFactorand the time threshold (either bespark.speculation.multiplier* successfulTaskDurations.median orspark.speculation.minTaskRuntime).|3.4.0
spark.task.cpus|1|Number of cores to allocate for each task.|0.5.0
spark.task.resource.{resourceName}.amount|1|Amount of a particular resource type to allocate for each task, note that this can be a double. If this is specified you must also provide the executor configspark.executor.resource.{resourceName}.amountand any corresponding discovery configs so that your executors are created with that resource type. In addition to whole amounts, a fractional amount (for example, 0.25, which means 1/4th of a resource) may be specified. Fractional amounts must be less than or equal to 0.5, or in other words, the minimum amount of resource sharing is 2 tasks per resource. Additionally, fractional amounts are floored in order to assign resource slots (e.g. a 0.2222 configuration, or 1/0.2222 slots will become 4 tasks/resource, not 5).|3.0.0
spark.task.maxFailures|4|Number of continuous failures of any particular task before giving up on the job. The total number of failures spread across different tasks will not cause the job to fail; a particular task has to fail this number of attempts continuously. If any attempt succeeds, the failure count for the task will be reset. Should be greater than or equal to 1. Number of allowed retries = this value - 1.|0.8.0
spark.task.reaper.enabled|false|Enables monitoring of killed / interrupted tasks. When set to true, any task which is killed will be monitored by the executor until that task actually finishes executing. See the otherspark.task.reaper.*configurations for details on how to control the exact behavior of this monitoring. When set to false (the default), task killing will use an older code path which lacks such monitoring.|2.0.3
spark.task.reaper.pollingInterval|10s|Whenspark.task.reaper.enabled = true, this setting controls the frequency at which executors will poll the status of killed tasks. If a killed task is still running when polled then a warning will be logged and, by default, a thread-dump of the task will be logged (this thread dump can be disabled via thespark.task.reaper.threadDumpsetting, which is documented below).|2.0.3
spark.task.reaper.threadDump|true|Whenspark.task.reaper.enabled = true, this setting controls whether task thread dumps are logged during periodic polling of killed tasks. Set this to false to disable collection of thread dumps.|2.0.3
spark.task.reaper.killTimeout|-1|Whenspark.task.reaper.enabled = true, this setting specifies a timeout after which the executor JVM will kill itself if a killed task has not stopped running. The default value, -1, disables this mechanism and prevents the executor from self-destructing. The purpose of this setting is to act as a safety-net to prevent runaway noncancellable tasks from rendering an executor unusable.|2.0.3
spark.stage.maxConsecutiveAttempts|4|Number of consecutive stage attempts allowed before a stage is aborted.|2.2.0
spark.stage.ignoreDecommissionFetchFailure|true|Whether ignore stage fetch failure caused by executor decommission when countspark.stage.maxConsecutiveAttempts|3.4.0
spark.barrier.sync.timeout|365d|The timeout in seconds for eachbarrier()call from a barrier task. If the coordinator didn't receive all the sync messages from barrier tasks within the configured time, throw a SparkException to fail all the tasks. The default value is set to 31536000(3600 * 24 * 365) so thebarrier()call shall wait for one year.|2.4.0
spark.scheduler.barrier.maxConcurrentTasksCheck.interval|15s|Time in seconds to wait between a max concurrent tasks check failure and the next check. A max concurrent tasks check ensures the cluster can launch more concurrent tasks than required by a barrier stage on job submitted. The check can fail in case a cluster has just started and not enough executors have registered, so we wait for a little while and try to perform the check again. If the check fails more than a configured max failure times for a job then fail current job submission. Note this config only applies to jobs that contain one or more barrier stages, we won't perform the check on non-barrier jobs.|2.4.0
spark.scheduler.barrier.maxConcurrentTasksCheck.maxFailures|40|Number of max concurrent tasks check failures allowed before fail a job submission. A max concurrent tasks check ensures the cluster can launch more concurrent tasks than required by a barrier stage on job submitted. The check can fail in case a cluster has just started and not enough executors have registered, so we wait for a little while and try to perform the check again. If the check fails more than a configured max failure times for a job then fail current job submission. Note this config only applies to jobs that contain one or more barrier stages, we won't perform the check on non-barrier jobs.|2.4.0
spark.dynamicAllocation.enabled|false|Whether to use dynamic resource allocation, which scales the number of executors registered with this application up and down based on the workload. For more detail, see the descriptionhere.This requires one of the following conditions: 1) enabling external shuffle service throughspark.shuffle.service.enabled, or 2) enabling shuffle tracking throughspark.dynamicAllocation.shuffleTracking.enabled, or 3) enabling shuffle blocks decommission throughspark.decommission.enabledandspark.storage.decommission.shuffleBlocks.enabled, or 4) (Experimental) configuringspark.shuffle.sort.io.plugin.classto use a customShuffleDataIOwho'sShuffleDriverComponentssupports reliable storage. The following configurations are also relevant:spark.dynamicAllocation.minExecutors,spark.dynamicAllocation.maxExecutors, andspark.dynamicAllocation.initialExecutorsspark.dynamicAllocation.executorAllocationRatio|1.2.0
spark.dynamicAllocation.executorIdleTimeout|60s|If dynamic allocation is enabled and an executor has been idle for more than this duration, the executor will be removed. For more detail, see thisdescription.|1.2.0
spark.dynamicAllocation.cachedExecutorIdleTimeout|infinity|If dynamic allocation is enabled and an executor which has cached data blocks has been idle for more than this duration, the executor will be removed. For more details, see thisdescription.|1.4.0
spark.dynamicAllocation.initialExecutors|spark.dynamicAllocation.minExecutors|Initial number of executors to run if dynamic allocation is enabled.If--num-executors(orspark.executor.instances) is set and larger than this value, it will be used as the initial number of executors.|1.3.0
spark.dynamicAllocation.maxExecutors|infinity|Upper bound for the number of executors if dynamic allocation is enabled.|1.2.0
spark.dynamicAllocation.minExecutors|0|Lower bound for the number of executors if dynamic allocation is enabled.|1.2.0
spark.dynamicAllocation.executorAllocationRatio|1|By default, the dynamic allocation will request enough executors to maximize the parallelism according to the number of tasks to process. While this minimizes the latency of the job, with small tasks this setting can waste a lot of resources due to executor allocation overhead, as some executor might not even do any work. This setting allows to set a ratio that will be used to reduce the number of executors w.r.t. full parallelism. Defaults to 1.0 to give maximum parallelism. 0.5 will divide the target number of executors by 2 The target number of executors computed by the dynamicAllocation can still be overridden by thespark.dynamicAllocation.minExecutorsandspark.dynamicAllocation.maxExecutorssettings|2.4.0
spark.dynamicAllocation.schedulerBacklogTimeout|1s|If dynamic allocation is enabled and there have been pending tasks backlogged for more than this duration, new executors will be requested. For more detail, see thisdescription.|1.2.0
spark.dynamicAllocation.sustainedSchedulerBacklogTimeout|schedulerBacklogTimeout|Same asspark.dynamicAllocation.schedulerBacklogTimeout, but used only for subsequent executor requests. For more detail, see thisdescription.|1.2.0
spark.dynamicAllocation.shuffleTracking.enabled|true|Enables shuffle file tracking for executors, which allows dynamic allocation without the need for an external shuffle service. This option will try to keep alive executors that are storing shuffle data for active jobs.|3.0.0
spark.dynamicAllocation.shuffleTracking.timeout|infinity|When shuffle tracking is enabled, controls the timeout for executors that are holding shuffle data. The default value means that Spark will rely on the shuffles being garbage collected to be able to release executors. If for some reason garbage collection is not cleaning up shuffles quickly enough, this option can be used to control when to time out executors even when they are storing shuffle data.|3.0.0
"spark.{driver|executor}.rpc.io.serverThreads"|Fall back onspark.rpc.io.serverThreads|Number of threads used in the server thread pool|1.6.0
"spark.{driver|executor}.rpc.io.clientThreads"|Fall back onspark.rpc.io.clientThreads|Number of threads used in the client thread pool|1.6.0
"spark.{driver|executor}.rpc.netty.dispatcher.numThreads"|Fall back onspark.rpc.netty.dispatcher.numThreads|Number of threads used in RPC message dispatcher thread pool|3.0.0
spark.api.mode|classic|For Spark Classic applications, specify whether to automatically use Spark Connect by running a local Spark Connect server. The value can beclassicorconnect.|4.0.0
spark.connect.grpc.binding.address|(none)|Address for Spark Connect server to bind.|4.0.0
spark.connect.grpc.binding.port|15002|Port for Spark Connect server to bind.|3.4.0
spark.connect.grpc.port.maxRetries|0|The max port retry attempts for the gRPC server binding. By default, it's set to 0, and the server will fail fast in case of port conflicts.|4.0.0
spark.connect.grpc.interceptor.classes|(none)|Comma separated list of class names that must implement theio.grpc.ServerInterceptorinterface|3.4.0
spark.connect.grpc.arrow.maxBatchSize|4m|When using Apache Arrow, limit the maximum size of one arrow batch that can be sent from server side to client side. Currently, we conservatively use 70% of it because the size is not accurate but estimated.|3.4.0
spark.connect.grpc.maxInboundMessageSize|134217728|Sets the maximum inbound message size for the gRPC requests. Requests with a larger payload will fail.|3.4.0
spark.connect.extensions.relation.classes|(none)|Comma separated list of classes that implement the traitorg.apache.spark.sql.connect.plugin.RelationPluginto support custom Relation types in proto.|3.4.0
spark.connect.extensions.expression.classes|(none)|Comma separated list of classes that implement the traitorg.apache.spark.sql.connect.plugin.ExpressionPluginto support custom Expression types in proto.|3.4.0
spark.connect.extensions.command.classes|(none)|Comma separated list of classes that implement the traitorg.apache.spark.sql.connect.plugin.CommandPluginto support custom Command types in proto.|3.4.0
spark.connect.ml.backend.classes|(none)|Comma separated list of classes that implement the traitorg.apache.spark.sql.connect.plugin.MLBackendPluginto replace the specified Spark ML operators with a backend-specific implementation.|4.0.0
spark.connect.jvmStacktrace.maxSize|1024|Sets the maximum stack trace size to display when `spark.sql.pyspark.jvmStacktrace.enabled` is true.|3.5.0
spark.sql.connect.ui.retainedSessions|200|The number of client sessions kept in the Spark Connect UI history.|3.5.0
spark.sql.connect.ui.retainedStatements|200|The number of statements kept in the Spark Connect UI history.|3.5.0
spark.sql.connect.enrichError.enabled|true|When true, it enriches errors with full exception messages and optionally server-side stacktrace on the client side via an additional RPC.|4.0.0
spark.sql.connect.serverStacktrace.enabled|true|When true, it sets the server-side stacktrace in the user-facing Spark exception.|4.0.0
spark.connect.grpc.maxMetadataSize|1024|Sets the maximum size of metadata fields. For instance, it restricts metadata fields in `ErrorInfo`.|4.0.0
spark.connect.progress.reportInterval|2s|The interval at which the progress of a query is reported to the client. If the value is set to a negative value the progress reports will be disabled.|4.0.0
spark.sql.adaptive.advisoryPartitionSizeInBytes|(value ofspark.sql.adaptive.shuffle.targetPostShuffleInputSize)|The advisory size in bytes of the shuffle partition during adaptive optimization (when spark.sql.adaptive.enabled is true). It takes effect when Spark coalesces small shuffle partitions or splits skewed shuffle partition.|3.0.0
spark.sql.adaptive.autoBroadcastJoinThreshold|(none)|Configures the maximum size in bytes for a table that will be broadcast to all worker nodes when performing a join. By setting this value to -1 broadcasting can be disabled. The default value is same with spark.sql.autoBroadcastJoinThreshold. Note that, this config is used only in adaptive framework.|3.2.0
spark.sql.adaptive.coalescePartitions.enabled|true|When true and 'spark.sql.adaptive.enabled' is true, Spark will coalesce contiguous shuffle partitions according to the target size (specified by 'spark.sql.adaptive.advisoryPartitionSizeInBytes'), to avoid too many small tasks.|3.0.0
spark.sql.adaptive.coalescePartitions.initialPartitionNum|(none)|The initial number of shuffle partitions before coalescing. If not set, it equals to spark.sql.shuffle.partitions. This configuration only has an effect when 'spark.sql.adaptive.enabled' and 'spark.sql.adaptive.coalescePartitions.enabled' are both true.|3.0.0
spark.sql.adaptive.coalescePartitions.minPartitionSize|1MB|The minimum size of shuffle partitions after coalescing. This is useful when the adaptively calculated target size is too small during partition coalescing.|3.2.0
spark.sql.adaptive.coalescePartitions.parallelismFirst|true|When true, Spark does not respect the target size specified by 'spark.sql.adaptive.advisoryPartitionSizeInBytes' (default 64MB) when coalescing contiguous shuffle partitions, but adaptively calculate the target size according to the default parallelism of the Spark cluster. The calculated size is usually smaller than the configured target size. This is to maximize the parallelism and avoid performance regressions when enabling adaptive query execution. It's recommended to set this config to false on a busy cluster to make resource utilization more efficient (not many small tasks).|3.2.0
spark.sql.adaptive.customCostEvaluatorClass|(none)|The custom cost evaluator class to be used for adaptive execution. If not being set, Spark will use its own SimpleCostEvaluator by default.|3.2.0
spark.sql.adaptive.enabled|true|When true, enable adaptive query execution, which re-optimizes the query plan in the middle of query execution, based on accurate runtime statistics.|1.6.0
spark.sql.adaptive.forceOptimizeSkewedJoin|false|When true, force enable OptimizeSkewedJoin even if it introduces extra shuffle.|3.3.0
spark.sql.adaptive.localShuffleReader.enabled|true|When true and 'spark.sql.adaptive.enabled' is true, Spark tries to use local shuffle reader to read the shuffle data when the shuffle partitioning is not needed, for example, after converting sort-merge join to broadcast-hash join.|3.0.0
spark.sql.adaptive.maxShuffledHashJoinLocalMapThreshold|0b|Configures the maximum size in bytes per partition that can be allowed to build local hash map. If this value is not smaller than spark.sql.adaptive.advisoryPartitionSizeInBytes and all the partition size are not larger than this config, join selection prefer to use shuffled hash join instead of sort merge join regardless of the value of spark.sql.join.preferSortMergeJoin.|3.2.0
spark.sql.adaptive.optimizeSkewsInRebalancePartitions.enabled|true|When true and 'spark.sql.adaptive.enabled' is true, Spark will optimize the skewed shuffle partitions in RebalancePartitions and split them to smaller ones according to the target size (specified by 'spark.sql.adaptive.advisoryPartitionSizeInBytes'), to avoid data skew.|3.2.0
spark.sql.adaptive.optimizer.excludedRules|(none)|Configures a list of rules to be disabled in the adaptive optimizer, in which the rules are specified by their rule names and separated by comma. The optimizer will log the rules that have indeed been excluded.|3.1.0
spark.sql.adaptive.rebalancePartitionsSmallPartitionFactor|0.2|A partition will be merged during splitting if its size is small than this factor multiply spark.sql.adaptive.advisoryPartitionSizeInBytes.|3.3.0
spark.sql.adaptive.skewJoin.enabled|true|When true and 'spark.sql.adaptive.enabled' is true, Spark dynamically handles skew in shuffled join (sort-merge and shuffled hash) by splitting (and replicating if needed) skewed partitions.|3.0.0
spark.sql.adaptive.skewJoin.skewedPartitionFactor|5.0|A partition is considered as skewed if its size is larger than this factor multiplying the median partition size and also larger than 'spark.sql.adaptive.skewJoin.skewedPartitionThresholdInBytes'|3.0.0
spark.sql.adaptive.skewJoin.skewedPartitionThresholdInBytes|256MB|A partition is considered as skewed if its size in bytes is larger than this threshold and also larger than 'spark.sql.adaptive.skewJoin.skewedPartitionFactor' multiplying the median partition size. Ideally this config should be set larger than 'spark.sql.adaptive.advisoryPartitionSizeInBytes'.|3.0.0
spark.sql.adaptive.streaming.stateless.enabled|true|When true, enable adaptive query execution for stateless streaming query. To enable this config,spark.sql.adaptive.enabledneeds to be also enabled.|4.1.0
spark.sql.allowNamedFunctionArguments|true|If true, Spark will turn on support for named parameters for all functions that has it implemented.|3.5.0
spark.sql.ansi.doubleQuotedIdentifiers|false|"When true and 'spark.sql.ansi.enabled' is true, Spark SQL reads literals enclosed in double quoted ("") as identifiers. When false they are read as string literals."|3.4.0
spark.sql.ansi.enabled|true|"When true, Spark SQL uses an ANSI compliant dialect instead of being Hive compliant. For example, Spark will throw an exception at runtime instead of returning null results when the inputs to a SQL operator/function are invalid. For full details of this dialect, you can find them in the section ""ANSI Compliance"" of Spark's documentation. Some ANSI dialect features may be not from the ANSI SQL standard directly, but their behaviors align with ANSI SQL's style"|3.0.0
spark.sql.ansi.enforceReservedKeywords|false|When true and 'spark.sql.ansi.enabled' is true, the Spark SQL parser enforces the ANSI reserved keywords and forbids SQL queries that use reserved keywords as alias names and/or identifiers for table, view, function, etc.|3.3.0
spark.sql.ansi.relationPrecedence|false|When true and 'spark.sql.ansi.enabled' is true, JOIN takes precedence over comma when combining relation. For example,t1, t2 JOIN t3should result tot1 X (t2 X t3). If the config is false, the result is(t1 X t2) X t3.|3.4.0
spark.sql.autoBroadcastJoinThreshold|10MB|Configures the maximum size in bytes for a table that will be broadcast to all worker nodes when performing a join. By setting this value to -1 broadcasting can be disabled.|1.1.0
spark.sql.avro.compression.codec|snappy|Compression codec used in writing of AVRO files. Supported codecs: uncompressed, deflate, snappy, bzip2, xz and zstandard. Default codec is snappy.|2.4.0
spark.sql.avro.deflate.level|-1|Compression level for the deflate codec used in writing of AVRO files. Valid value must be in the range of from 1 to 9 inclusive or -1. The default value is -1 which corresponds to 6 level in the current implementation.|2.4.0
spark.sql.avro.filterPushdown.enabled|true|When true, enable filter pushdown to Avro datasource.|3.1.0
spark.sql.avro.xz.level|6|Compression level for the xz codec used in writing of AVRO files. Valid value must be in the range of from 1 to 9 inclusive The default value is 6.|4.0.0
spark.sql.avro.zstandard.bufferPool.enabled|false|If true, enable buffer pool of ZSTD JNI library when writing of AVRO files|4.0.0
spark.sql.avro.zstandard.level|3|Compression level for the zstandard codec used in writing of AVRO files.|4.0.0
spark.sql.binaryOutputStyle|(none)|The output style used display binary data. Valid values are 'UTF-8', 'BASIC', 'BASE64', 'HEX', and 'HEX_DISCRETE'.|4.0.0
spark.sql.broadcastTimeout|300|Timeout in seconds for the broadcast wait time in broadcast joins.|1.3.0
spark.sql.bucketing.coalesceBucketsInJoin.enabled|false|When true, if two bucketed tables with the different number of buckets are joined, the side with a bigger number of buckets will be coalesced to have the same number of buckets as the other side. Bigger number of buckets is divisible by the smaller number of buckets. Bucket coalescing is applied to sort-merge joins and shuffled hash join. Note: Coalescing bucketed table can avoid unnecessary shuffling in join, but it also reduces parallelism and could possibly cause OOM for shuffled hash join.|3.1.0
spark.sql.bucketing.coalesceBucketsInJoin.maxBucketRatio|4|The ratio of the number of two buckets being coalesced should be less than or equal to this value for bucket coalescing to be applied. This configuration only has an effect when 'spark.sql.bucketing.coalesceBucketsInJoin.enabled' is set to true.|3.1.0
spark.sql.catalog.spark_catalog|builtin|A catalog implementation that will be used as the v2 interface to Spark's built-in v1 catalog: spark_catalog. This catalog shares its identifier namespace with the spark_catalog and must be consistent with it; for example, if a table can be loaded by the spark_catalog, this catalog must also return the table metadata. To delegate operations to the spark_catalog, implementations can extend 'CatalogExtension'. The value should be either 'builtin' which represents the spark's builit-in V2SessionCatalog, or a fully qualified class name of the catalog implementation.|3.0.0
spark.sql.cbo.enabled|false|Enables CBO for estimation of plan statistics when set true.|2.2.0
spark.sql.cbo.joinReorder.dp.star.filter|false|Applies star-join filter heuristics to cost based join enumeration.|2.2.0
spark.sql.cbo.joinReorder.dp.threshold|12|The maximum number of joined nodes allowed in the dynamic programming algorithm.|2.2.0
spark.sql.cbo.joinReorder.enabled|false|Enables join reorder in CBO.|2.2.0
spark.sql.cbo.planStats.enabled|false|When true, the logical plan will fetch row counts and column statistics from catalog.|3.0.0
spark.sql.cbo.starSchemaDetection|false|When true, it enables join reordering based on star schema detection.|2.2.0
spark.sql.charAsVarchar|false|When true, Spark replaces CHAR type with VARCHAR type in CREATE/REPLACE/ALTER TABLE commands, so that newly created/updated tables will not have CHAR type columns/fields. Existing tables with CHAR type columns/fields are not affected by this config.|3.3.0
spark.sql.chunkBase64String.enabled|true|Whether to truncate string generated by theBase64function. When true, base64 strings generated by the base64 function are chunked into lines of at most 76 characters. When false, the base64 strings are not chunked.|3.5.2
spark.sql.classic.shuffleDependency.fileCleanup.enabled|false|When enabled, shuffle files will be cleaned up at the end of classic SQL executions. Note that this cleanup may cause stage retries and regenerate shuffle files if the same dataframe reference is executed again.|4.1.0
spark.sql.cli.print.header|false|When set to true, spark-sql CLI prints the names of the columns in query output.|3.2.0
spark.sql.columnNameOfCorruptRecord|_corrupt_record|The name of internal column for storing raw/un-parsed JSON and CSV records that fail to parse.|1.2.0
spark.sql.connect.shuffleDependency.fileCleanup.enabled|(value ofspark.sql.shuffleDependency.fileCleanup.enabled)|When enabled, shuffle files will be cleaned up at the end of Spark Connect SQL executions.|4.1.0
spark.sql.csv.filterPushdown.enabled|true|When true, enable filter pushdown to CSV datasource.|3.0.0
spark.sql.cteRecursionAnchorRowsLimitToConvertToLocalRelation|100|Maximum number of rows that the anchor in a recursive CTE can return for it to beconverted to a localRelation.|4.1.0
spark.sql.cteRecursionLevelLimit|100|Maximum level of recursion that is allowed while executing a recursive CTE definition.If a query does not get exhausted before reaching this limit it fails. Use -1 for unlimited.|4.1.0
spark.sql.cteRecursionRowLimit|1000000|Maximum number of rows that can be returned when executing a recursive CTE definition.If a query does not get exhausted before reaching this limit it fails. Use -1 for unlimited.|4.1.0
spark.sql.datetime.java8API.enabled|false|If the configuration property is set to true, java.time.Instant and java.time.LocalDate classes of Java 8 API are used as external types for Catalyst's TimestampType and DateType. If it is set to false, java.sql.Timestamp and java.sql.Date are used for the same purpose.|3.0.0
spark.sql.debug.maxToStringFields|25|"Maximum number of fields of sequence-like entries can be converted to strings in debug output. Any elements beyond the limit will be dropped and replaced by a ""... N more fields"" placeholder."|3.0.0
spark.sql.defaultCacheStorageLevel|MEMORY_AND_DISK|The default storage level ofdataset.cache(),catalog.cacheTable()and sql queryCACHE TABLE t.|4.0.0
spark.sql.defaultCatalog|spark_catalog|Name of the default catalog. This will be the current catalog if users have not explicitly set the current catalog yet.|3.0.0
spark.sql.error.messageFormat|PRETTY|When PRETTY, the error message consists of textual representation of error class, message and query context. The MINIMAL and STANDARD formats are pretty JSON formats where STANDARD includes an additional JSON fieldmessage. This configuration property influences on error messages of Thrift Server and SQL CLI while running queries.|3.4.0
spark.sql.execution.arrow.compression.codec|none|Compression codec used to compress Arrow IPC data when transferring data between JVM and Python processes (e.g., toPandas, toArrow). This can significantly reduce memory usage and network bandwidth when transferring large datasets. Supported codecs: 'none' (no compression), 'zstd' (Zstandard), 'lz4' (LZ4). Note that compression may add CPU overhead but can provide substantial memory savings especially for datasets with high compression ratios.|4.1.0
spark.sql.execution.arrow.compression.zstd.level|3|Compression level for Zstandard (zstd) codec when compressing Arrow IPC data. This config is only used when spark.sql.execution.arrow.compression.codec is set to 'zstd'. Negative values provide ultra-fast compression with lower compression ratios. Positive values provide normal to maximum compression, with higher values giving better compression but slower speed. The default value 3 provides a good balance between compression speed and compression ratio.|4.1.0
spark.sql.execution.arrow.enabled|false|(Deprecated since Spark 3.0, please set 'spark.sql.execution.arrow.pyspark.enabled'.)|2.3.0
spark.sql.execution.arrow.fallback.enabled|true|(Deprecated since Spark 3.0, please set 'spark.sql.execution.arrow.pyspark.fallback.enabled'.)|2.4.0
spark.sql.execution.arrow.localRelationThreshold|48MB|When converting Arrow batches to Spark DataFrame, local collections are used in the driver side if the byte size of Arrow batches is smaller than this threshold. Otherwise, the Arrow batches are sent and deserialized to Spark internal rows in the executors.|3.4.0
spark.sql.execution.arrow.maxRecordsPerBatch|10000|When using Apache Arrow, limit the maximum number of records that can be written to a single ArrowRecordBatch in memory. If set to zero or negative there is no limit. See also spark.sql.execution.arrow.maxBytesPerBatch. If both are set, each batch is created when any condition of both is met.|2.3.0
spark.sql.execution.arrow.pyspark.enabled|(value ofspark.sql.execution.arrow.enabled)|When true, make use of Apache Arrow for columnar data transfers in PySpark. This optimization applies to: 1. pyspark.sql.DataFrame.toPandas. 2. pyspark.sql.SparkSession.createDataFrame when its input is a Pandas DataFrame or a NumPy ndarray. The following data type is unsupported: ArrayType of TimestampType.|3.0.0
spark.sql.execution.arrow.pyspark.fallback.enabled|(value ofspark.sql.execution.arrow.fallback.enabled)|When true, optimizations enabled by 'spark.sql.execution.arrow.pyspark.enabled' will fallback automatically to non-optimized implementations if an error occurs.|3.0.0
spark.sql.execution.arrow.pyspark.selfDestruct.enabled|false|(Experimental) When true, make use of Apache Arrow's self-destruct and split-blocks options for columnar data transfers in PySpark, when converting from Arrow to Pandas. This reduces memory usage at the cost of some CPU time. This optimization applies to: pyspark.sql.DataFrame.toPandas when 'spark.sql.execution.arrow.pyspark.enabled' is set.|3.2.0
spark.sql.execution.arrow.pyspark.validateSchema.enabled|false|When true, validate the schema of Arrow batches returned by mapInArrow, mapInPandas and DataSource against the expected schema to ensure that they are compatible.|4.1.0
spark.sql.execution.arrow.sparkr.enabled|false|When true, make use of Apache Arrow for columnar data transfers in SparkR. This optimization applies to: 1. createDataFrame when its input is an R DataFrame 2. collect 3. dapply 4. gapply The following data types are unsupported: FloatType, BinaryType, ArrayType, StructType and MapType.|3.0.0
spark.sql.execution.arrow.transformWithStateInPySpark.maxStateRecordsPerBatch|10000|When using TransformWithState in PySpark (both Python Row and Pandas), limit the maximum number of state records that can be written to a single ArrowRecordBatch in memory.|4.0.0
spark.sql.execution.arrow.useLargeVarTypes|false|When using Apache Arrow, use large variable width vectors for string and binary types. Regular string and binary types have a 2GiB limit for a column in a single record batch. Large variable types remove this limitation at the cost of higher memory usage per value.|3.5.0
spark.sql.execution.interruptOnCancel|true|When true, all running tasks will be interrupted if one cancels a query.|4.0.0
spark.sql.execution.pandas.inferPandasDictAsMap|false|When true, spark.createDataFrame will infer dict from Pandas DataFrame as a MapType. When false, spark.createDataFrame infers dict from Pandas DataFrame as a StructType which is default inferring from PyArrow.|4.0.0
